Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Nr. clienți
Staer 23,int.humulesti,sector 5,sector 5,bucurești,1
Staer 23,intarea agintului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intarea barsei,sector 3,sector 3,bucurești,1
Staer 23,intarea ciulin,berceni (ilfov),—,ilfov,1
Staer 23,intarea orastie,sector 4,sector 4,bucurești,1
Staer 23,intarea targu frumos,sector 4,sector 4,bucurești,1
Staer 23,intersectie baldana cu iancu cojescu,sector 4,sector 4,bucurești,1
Staer 23,intrarea 1 decembrie 1918,drarasti-ilfov,—,ilfov,1
Staer 23,intrarea adierii,sector 4,sector 4,bucurești,1
Staer 23,intrarea arcului,darasti,—,ilfov,1
Staer 23,intrarea area badeni,sector 3,sector 3,bucurești,5
Staer 23,intrarea area baritonului,sector 2,sector 2,bucurești,1
Staer 23,intrarea area barsei,sector 3,sector 3,bucurești,3
Staer 23,intrarea area binelui,sector 4,sector 4,bucurești,2
Staer 23,intrarea area calatorului,sector 2,sector 2,bucurești,1
Staer 23,intrarea area cascioarelor,sector 4,sector 4,bucurești,1
Staer 23,intrarea area cercului,berceni (ilfov),—,ilfov,1
Staer 23,intrarea area cernei,pantelimon,—,ilfov,1
Staer 23,intrarea area ciolpani,sector 5,sector 5,bucurești,1
Staer 23,intrarea area circului,berceni (ilfov),—,ilfov,1
Staer 23,intrarea area ciresului,dobroești,—,ilfov,2
Staer 23,intrarea area ciurului,sector 4,sector 4,bucurești,1
Staer 23,intrarea area colibasi,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea area deciu,sector 4,sector 4,bucurești,1
Staer 23,intrarea area digului,sector 4,sector 4,bucurești,1
Staer 23,intrarea area drumul fermei,popești-leordeni,—,ilfov,1
Staer 23,intrarea area fabulri,sector 4,sector 4,bucurești,1
Staer 23,intrarea area garii catelu,sector 3,sector 3,bucurești,1
Staer 23,intrarea area gazonului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea area general grigore ipatescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea area horbotei,sector 2,sector 2,bucurești,1
Staer 23,intrarea area horbotei,sector 3,sector 3,bucurești,4
Staer 23,intrarea area ispravei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea area lianei,sector 3,sector 3,bucurești,1
Staer 23,intrarea area lotrisor,berceni (ilfov),—,ilfov,1
Staer 23,intrarea area mesteacanului,otopeni,—,ilfov,2
Staer 23,intrarea area paltinului,otopeni,—,ilfov,1
Staer 23,intrarea area panificatiei,sector 6,sector 6,bucurești,1
Staer 23,intrarea area patinoarului,sector 3,sector 3,bucurești,1
Staer 23,intrarea area platanului,buftea,—,ilfov,1
Staer 23,intrarea area poganesti,sector 4,sector 4,bucurești,1
Staer 23,intrarea area povernei,bragadiru,—,ilfov,1
Staer 23,intrarea area puntii,balotești,—,ilfov,1
Staer 23,intrarea area randunelelor,otopeni,—,ilfov,1
Staer 23,intrarea area rastu lacul,sector 5,sector 5,bucurești,1
Staer 23,intrarea area rigas,sector 1,sector 1,bucurești,2
Staer 23,intrarea area saturn,berceni (ilfov),—,ilfov,1
Staer 23,intrarea area schtulyui,ganeasa,—,ilfov,1
Staer 23,intrarea area sectorului,sector 3,sector 3,bucurești,1
Staer 23,intrarea area serg dardiac,sector 2,sector 2,bucurești,1
Staer 23,intrarea area sergent daediac,sector 2,sector 2,bucurești,1
Staer 23,intrarea area stelutei,berceni (ilfov),—,ilfov,1
Staer 23,intrarea area straulesti,sector 1,sector 1,bucurești,1
Staer 23,intrarea area targu frumos,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea area targu frumos,sector 4,sector 4,bucurești,2
Staer 23,intrarea area targul frumos,sector 4,sector 4,bucurești,2
Staer 23,intrarea area ulmeni,sector 4,sector 4,bucurești,1
Staer 23,intrarea area uzinei,glina,—,ilfov,1
Staer 23,intrarea area vaslei,sector 3,sector 3,bucurești,1
Staer 23,intrarea area viilor,popești-leordeni,—,ilfov,4
Staer 23,intrarea area vrabiei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea area vrabiei,sector 5,sector 5,bucurești,1
Staer 23,intrarea area zambilelor,berceni (ilfov),—,ilfov,2
Staer 23,intrarea area zorilor,1 decembrie,—,ilfov,1
Staer 23,intrarea baba voica,sector 4,sector 4,bucurești,2
Staer 23,intrarea baltisoara,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,intrarea baltisoara,sector 4,sector 4,bucurești,1
Staer 23,intrarea berbecului,măgurele,—,ilfov,1
Staer 23,intrarea biruintei,bucurești neatribuit,bucurești neatribuit,bucurești,2
