Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Nr. clienți
Staer 7,lugoj,sector 1,sector 1,bucurești,1
Staer 7,luntrei,sector 2,sector 2,bucurești,12
Staer 7,m. eminescu,tunari,—,ilfov,1
Staer 7,m.sebastian,sector 5,sector 5,bucurești,1
Staer 7,macelar,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,macesilor,"moara vasiei ,sat caciulati",—,ilfov,1
Staer 7,macesului,ștefăneștii de jos,—,ilfov,1
Staer 7,macului,afumați,—,ilfov,2
Staer 7,macului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,madrid,sector 1,sector 1,bucurești,1
Staer 7,magazin staer pipera,voluntari–pipera,—,ilfov,1
Staer 7,magneziului,sector 2,sector 2,bucurești,1
Staer 7,magnoliei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,magnoliei,pantelimon,—,ilfov,1
Staer 7,magnoliei,sector 2,sector 2,bucurești,2
Staer 7,magnoliei,voluntari–pipera,—,ilfov,1
Staer 7,magura vaii,sector 2,sector 2,bucurești,1
Staer 7,magurei,sector 5,sector 5,bucurești,1
Staer 7,maica domnului,sector 2,sector 2,bucurești,5
Staer 7,maica teofana,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,maior atanase ionescu,sector 2,sector 2,bucurești,1
Staer 7,maior bacila,sector 2,sector 2,bucurești,21
Staer 7,maior bacila vasile,sector 2,sector 2,bucurești,2
Staer 7,maior mampeanu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,maior vasile bocila,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,malcoci,sector 5,sector 5,bucurești,2
Staer 7,malei millo,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,malinului,sector 6,sector 6,bucurești,1
Staer 7,malul cu flori,corbeanca,—,ilfov,1
Staer 7,mandresti,sector 5,sector 5,bucurești,1
Staer 7,mangalia,voluntari–pipera,—,ilfov,1
Staer 7,mantiunii,sector 2,sector 2,bucurești,1
Staer 7,maramures,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,maramures,otopeni,—,ilfov,1
Staer 7,marasesti,afumați,—,ilfov,1
Staer 7,marasesti,tunari,—,ilfov,1
Staer 7,marasti,berceni (ilfov),—,ilfov,1
Staer 7,marasti,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,marcu armasu,sector 2,sector 2,bucurești,9
Staer 7,margaritarului,otopeni,—,ilfov,1
Staer 7,margeanului,sector 5,sector 5,bucurești,4
Staer 7,margelelor,sector 6,sector 6,bucurești,1
Staer 7,margine,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,maria ghicuseasa,sector 2,sector 2,bucurești,1
Staer 7,maria rosetti,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,maria rosetti,sector 2,sector 2,bucurești,2
Staer 7,marian tanase,sector 4,sector 4,bucurești,1
Staer 7,marian vasile,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,marica,sector 4,sector 4,bucurești,1
Staer 7,marin sorescu,otopeni,—,ilfov,1
Staer 7,marin sorescu,tancabesti,—,ilfov,2
Staer 7,marinarilor,sector 1,sector 1,bucurești,4
Staer 7,marius emanuil guteica,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,marului,sector 3,sector 3,bucurești,2
Staer 7,masina de paine,sector 2,sector 2,bucurești,12
Staer 7,masina de piine,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,masina de piine,sector 2,sector 2,bucurești,1
Staer 7,matei corvin,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,matei millo,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,matei milo,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,matei milo,voluntari–pipera,—,ilfov,1
Staer 7,matei vioevod,sector 2,sector 2,bucurești,1
Staer 7,matei voievod,sector 2,sector 2,bucurești,3
Staer 7,matui,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,maxim dorki,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,maxim gorki,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,maxim gorki,voluntari–pipera,—,ilfov,2
Staer 7,maximilian popa,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,maximilian popper,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,maximilian popper,sector 3,sector 3,bucurești,1
Staer 7,medianei,sector 2,sector 2,bucurești,1
Staer 7,mehadi,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,mehadia,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,mehadia,sector 6,sector 6,bucurești,2
Staer 7,mehadie,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,melodiei,fundeni,—,ilfov,1
Staer 7,melodiei,sector 2,sector 2,bucurești,11
Staer 7,merilor,afumați,—,ilfov,1
Staer 7,merilor,moara vlăsiei,—,ilfov,1
Staer 7,mesteacanului,dobroești,—,ilfov,2
Staer 7,mesteacanului,voluntari–pipera,—,ilfov,1
Staer 7,meterezului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,micsunelelor,dragomirești,—,ilfov,1
Staer 7,mihaela ruxandra,sector 6,sector 6,bucurești,1
Staer 7,mihaela ruxandra marcu,sector 6,sector 6,bucurești,1
Staer 7,mihai bravo,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,mihai bravu,afumați,—,ilfov,2
Staer 7,mihai bravu,bucurești neatribuit,bucurești neatribuit,bucurești,23
Staer 7,mihai bravu,sector 2,sector 2,bucurești,10
Staer 7,mihai bravu,sector 3,sector 3,bucurești,3
Staer 7,mihai eminescu,tunari,—,ilfov,4
Staer 7,mihai viteazu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,mihai viteazu,sector 1,sector 1,bucurești,2
Staer 7,mihai viteazu,voluntari–pipera,—,ilfov,1
Staer 7,mihai viteazul,tunari,—,ilfov,1
Staer 7,mihai viteazul,voluntari–pipera,—,ilfov,1
Staer 7,mihail glinka,sector 2,sector 2,bucurești,2
Staer 7,mihail ivanovici glinka,sector 2,sector 2,bucurești,1
Staer 7,mihail moxa,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,mihail sadoveanu,afumați,—,ilfov,1
Staer 7,mihail sadoveanu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,milcov,măgurele,—,ilfov,1
Staer 7,miletin,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,militari,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,mimozelor,ștefăneștii de jos,—,ilfov,1
Staer 7,minis,sector 3,sector 3,bucurești,2
Staer 7,mior vasile bacila,sector 2,sector 2,bucurești,1
Staer 7,mioritei,pantelimon,—,ilfov,1
Staer 7,miraslau,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,miraslau,popești-leordeni,—,ilfov,1
Staer 7,mircea badescu,sector 3,sector 3,bucurești,1
Staer 7,mircea eliade,afumați,—,ilfov,1
Staer 7,mircea eliade,voluntari–pipera,—,ilfov,1
Staer 7,mircea voda,sector 3,sector 3,bucurești,2
Staer 7,mircea vulcanescu,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,mixandrei,sector 4,sector 4,bucurești,2
Staer 7,moga alexandru,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,mogos voinicul,sector 2,sector 2,bucurești,1
Staer 7,mogos vornicul,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,mohorului,sector 6,sector 6,bucurești,3
Staer 7,moinesti,sector 6,sector 6,bucurești,2
Staer 7,moinesti.militari,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,moise nicoara 38a,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,moldovita,sector 4,sector 4,bucurești,6
Staer 7,molidului,corbeanca,—,ilfov,1
Staer 7,morii,afumați,—,ilfov,2
Staer 7,morilor,voluntari–pipera,—,ilfov,3
Staer 7,moroeni,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,moroeni,sector 2,sector 2,bucurești,1
Staer 7,moroieni,sector 2,sector 2,bucurești,5
Staer 7,motilor,sector 3,sector 3,bucurești,7
Staer 7,motoc,sector 5,sector 5,bucurești,3
Staer 7,mr vasile bacila,sector 2,sector 2,bucurești,2
Staer 7,mr. bacila vasile,sector 2,sector 2,bucurești,1
Staer 7,mugur mugurel,sector 3,sector 3,bucurești,1
Staer 7,muntele lung,sector 4,sector 4,bucurești,1
Staer 7,munteniei,sector 1,sector 1,bucurești,2
Staer 7,munteniei,voluntari–pipera,—,ilfov,1
Staer 7,muntii buzaului,sector 2,sector 2,bucurești,5
Staer 7,muntii gurghiului,sector 6,sector 6,bucurești,2
Staer 7,murelor,afumați,—,ilfov,1
Staer 7,mures,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,mures,dascălu,—,ilfov,1
Staer 7,mures,voluntari–pipera,—,ilfov,3
Staer 7,muresana,sector 3,sector 3,bucurești,2
Staer 7,mureseni,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,murguta,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,musat radulescu,sector 5,sector 5,bucurești,1
Staer 7,muuncii,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,n constantinescu,sector 1,sector 1,bucurești,1
Staer 7,n dumitru,pantelimon,—,ilfov,1
Staer 7,n.balcescu,brănești,—,ilfov,1
Staer 7,n.hagi stoica,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,nada florilor,sector 2,sector 2,bucurești,10
Staer 7,nades,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,narciselor,dobroești,—,ilfov,1
Staer 7,narciselor,ștefăneștii de jos,—,ilfov,1
Staer 7,natiunile unite,bucurești,—,ilfov,1
Staer 7,navigatiei,sector 1,sector 1,bucurești,2
Staer 7,neagoe basarab,sector 1,sector 1,bucurești,1
Staer 7,neagoe teodor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,neagoe teodor,sector 1,sector 1,bucurești,1
Staer 7,neagota,bucurești neatribuit,bucurești neatribuit,bucurești,3
Staer 7,neagu andrei,sector 3,sector 3,bucurești,1
Staer 7,neatirnarii,sector 1,sector 1,bucurești,1
Staer 7,negoiu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,negoiu,sector 3,sector 3,bucurești,1
Staer 7,negropontes,afumați,—,ilfov,1
Staer 7,nehoiasi,sector 5,sector 5,bucurești,3
Staer 7,nera,sector 6,sector 6,bucurești,1
Staer 7,nichita stanescu,mogoșoaia,—,ilfov,1
Staer 7,nichita stanescu,sector 2,sector 2,bucurești,1
Staer 7,nichita stanescu,tunari,—,ilfov,1
Staer 7,nicolae apostol,sector 2,sector 2,bucurești,8
Staer 7,nicolae balcescu,dobroești,—,ilfov,3
Staer 7,nicolae balcescu,ganeasa,—,ilfov,2
Staer 7,nicolae balcescu,jilava,—,ilfov,1
Staer 7,nicolae canea,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,nicolae caramfil,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,nicolae caranfil,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,nicolae constantinescu,sector 1,sector 1,bucurești,1
Staer 7,nicolae filimon,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,nicolae galea,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,nicolae grigoresc,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,nicolae hagi stoica,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,nicolae iorga,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,nicolae iorga,otopeni,—,ilfov,2
Staer 7,nicolae iorga,voluntari–pipera,—,ilfov,1
Staer 7,nicolae leonard,voluntari–pipera,—,ilfov,4
Staer 7,nicolae mohanescu,voluntari–pipera,—,ilfov,2
Staer 7,nicolae nicoleanu,sector 1,sector 1,bucurești,1
Staer 7,nicolae oncescu,sector 6,sector 6,bucurești,2
Staer 7,nicolae parau,sector 2,sector 2,bucurești,1
Staer 7,nicolae pascu,sector 3,sector 3,bucurești,3
Staer 7,nicolae sebe,sector 3,sector 3,bucurești,1
Staer 7,nicolae titulescu,sector 1,sector 1,bucurești,5
Staer 7,nicolae uncescu,sector 6,sector 6,bucurești,1
Staer 7,nicu leonard,voluntari–pipera,—,ilfov,1
Staer 7,niculae apostol,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,niculae sebe,sector 3,sector 3,bucurești,1
Staer 7,nita elinescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,nita ene,sector 2,sector 2,bucurești,3
Staer 7,nordului,tunari,—,ilfov,2
Staer 7,novaci,sector 5,sector 5,bucurești,1
Staer 7,nucsoara,sector 6,sector 6,bucurești,2
Staer 7,nucului,ștefăneștii de jos,—,ilfov,1
Staer 7,nuferilor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,nuferilor,dobroești,—,ilfov,2
Staer 7,obcina mare,sector 6,sector 6,bucurești,3
Staer 7,obciuna mare,sector 6,sector 6,bucurești,1
Staer 7,oboga,sector 6,sector 6,bucurești,1
Staer 7,oboru nou,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,oborul nou,sector 2,sector 2,bucurești,1
Staer 7,odesani,sector 2,sector 2,bucurești,1
Staer 7,odgonului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,oe postelnicu,sector 2,sector 2,bucurești,1
Staer 7,oian judetu,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,oian judetu,sector 3,sector 3,bucurești,1
Staer 7,oinei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,oituz,sector 2,sector 2,bucurești,1
Staer 7,olanelor,sector 2,sector 2,bucurești,1
Staer 7,olanesti,ștefăneștii de jos,—,ilfov,2
Staer 7,oltetului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,oltului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,oltului,pantelimon,—,ilfov,1
Staer 7,oltului,sector 5,sector 5,bucurești,1
Staer 7,oltului,voluntari–pipera,—,ilfov,3
Staer 7,omului,sector 1,sector 1,bucurești,1
Staer 7,onisifor,sector 3,sector 3,bucurești,1
Staer 7,opanez,sector 2,sector 2,bucurești,9
Staer 7,oradea,sector 2,sector 2,bucurești,3
Staer 7,orastiei,brănești,—,ilfov,2
Staer 7,orhideelor,chiajna–roșu–dudu,—,ilfov,3
Staer 7,orhideelor,dobroești,—,ilfov,3
Staer 7,orhideelor,gradistea,—,ilfov,1
Staer 7,orhideelor casa 4,voluntari–pipera,—,ilfov,1
Staer 7,orientului,tunari,—,ilfov,2
Staer 7,orsova,sector 6,sector 6,bucurești,1
Staer 7,orzari,sector 2,sector 2,bucurești,1
Staer 7,oti calin dr,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,ozana,sector 3,sector 3,bucurești,2
Staer 7,ozari,sector 3,sector 3,bucurești,1
Staer 7,p-ta alba iulia,sector 3,sector 3,bucurești,1
Staer 7,p-ta foisorul de foc,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,p-ța presei libere,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pache potropopescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,padesu,sector 4,sector 4,bucurești,4
Staer 7,padurea drumul pustnicului,sector 1,sector 1,bucurești,1
Staer 7,padurea pustinicu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,padureni,sector 6,sector 6,bucurești,2
Staer 7,padurii,sector 1,sector 1,bucurești,1
Staer 7,padurii-str jandarmeriei,sector 1,sector 1,bucurești,1
Staer 7,paduroiu,sector 4,sector 4,bucurești,1
Staer 7,paharnicul turtulea,sector 2,sector 2,bucurești,1
Staer 7,paharnicul turturea,sector 2,sector 2,bucurești,1
Staer 7,pajura,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pajurei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pajurei,sector 1,sector 1,bucurești,1
Staer 7,palady,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,palanca,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,paltinisului,sector 4,sector 4,bucurești,1
Staer 7,panait cerna,sector 3,sector 3,bucurești,2
Staer 7,pancota,sector 2,sector 2,bucurești,8
Staer 7,panduri,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,panselelor,voluntari–pipera,—,ilfov,1
Staer 7,pantelimon,sector 2,sector 2,bucurești,26
Staer 7,papazoglu,sector 3,sector 3,bucurești,1
Staer 7,papusa,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,parangului,sector 1,sector 1,bucurești,4
Staer 7,parcului,glina,—,ilfov,1
Staer 7,parcului,sector 1,sector 1,bucurești,1
Staer 7,pargarilor,sector 2,sector 2,bucurești,1
Staer 7,paroseni,sector 2,sector 2,bucurești,1
Staer 7,partiturii,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,partizanilor,sector 6,sector 6,bucurești,2
Staer 7,pasarani,sector 2,sector 2,bucurești,7
Staer 7,pascal aristide,sector 3,sector 3,bucurești,1
Staer 7,pascu nicolae,sector 3,sector 3,bucurești,1
Staer 7,pastorului,sector 2,sector 2,bucurești,1
Staer 7,patriotilor,sector 3,sector 3,bucurești,7
Staer 7,patutului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,paul greuceanu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,paunasul codrilor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,paunasul codrilor,sector 5,sector 5,bucurești,1
Staer 7,pavel tcacenco,voluntari–pipera,—,ilfov,1
Staer 7,pavel tekacenco,voluntari–pipera,—,ilfov,1
Staer 7,pavel tkacenco,voluntari–pipera,—,ilfov,1
Staer 7,pavel tkacenko,sector 2,sector 2,bucurești,1
Staer 7,pavel tkacenko,voluntari–pipera,—,ilfov,1
Staer 7,pavel tkcenko,voluntari–pipera,—,ilfov,1
Staer 7,pavlicheni,popești-leordeni,—,ilfov,1
Staer 7,pavlichieni,popești-leordeni,—,ilfov,1
Staer 7,pazon marian,sector 3,sector 3,bucurești,1
Staer 7,pecetei,sector 1,sector 1,bucurești,1
Staer 7,pecineaga,sector 5,sector 5,bucurești,1
Staer 7,peisajului,sector 2,sector 2,bucurești,1
Staer 7,penes curcanu,sector 3,sector 3,bucurești,1
Staer 7,peris,sector 2,sector 2,bucurești,4
Staer 7,pescarilor,sector 2,sector 2,bucurești,11
Staer 7,pescarusului,bucurești neatribuit,bucurești neatribuit,bucurești,9
Staer 7,pescarusului,sector 2,sector 2,bucurești,2
Staer 7,pescarusului,sector 3,sector 3,bucurești,1
Staer 7,petofi sandor,voluntari–pipera,—,ilfov,2
Staer 7,petofisandor,voluntari–pipera,—,ilfov,1
Staer 7,petrache florea,sector 3,sector 3,bucurești,1
Staer 7,petrachioaia,afumați,—,ilfov,1
Staer 7,petrascu,sector 3,sector 3,bucurești,1
Staer 7,petre antonesu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,petre cumapanici,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,petre ionel,brănești,—,ilfov,1
Staer 7,petre ionescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,petre istrate,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,petre lazarescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,petre negulescu,sector 2,sector 2,bucurești,1
Staer 7,petre paun,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,petre s aurelian,sector 1,sector 1,bucurești,1
Staer 7,petrechioaia,afumați,—,ilfov,2
Staer 7,petrican,sector 2,sector 2,bucurești,1
Staer 7,petricani,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,petrolului,sector 4,sector 4,bucurești,1
Staer 7,petroului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pewtre paun,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,piata alba iulia,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,piata alba iulia,sector 3,sector 3,bucurești,1
Staer 7,piata natiunile unite,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pict nicolae grigorescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pictor barbu iscovescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pictor harlescu,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,pictor hirlescu,sector 2,sector 2,bucurești,1
Staer 7,pictor n grigorescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pictor st .dumitrescu,sector 4,sector 4,bucurești,1
Staer 7,pictor stefan dumitescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pictor stefan dumitrescu,sector 4,sector 4,bucurești,1
Staer 7,piersicului,corbeanca,—,ilfov,1
Staer 7,piersicului,dobroești,—,ilfov,1
Staer 7,pietei,sector 1,sector 1,bucurești,2
Staer 7,pincota,sector 2,sector 2,bucurești,12
Staer 7,pipera,ambiance residence,—,ilfov,1
Staer 7,pipera,voluntari–pipera,—,ilfov,4
Staer 7,pipera tunari,voluntari–pipera,—,ilfov,3
Staer 7,"pipera,ibiza sol",voluntari–pipera,—,ilfov,1
Staer 7,piscului,sector 4,sector 4,bucurești,3
Staer 7,pitar mos,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pitarul hristache,sector 1,sector 1,bucurești,1
Staer 7,pl maj marin pazon,sector 3,sector 3,bucurești,1
Staer 7,pl radu gheorghe,sector 3,sector 3,bucurești,1
Staer 7,planetei,sector 6,sector 6,bucurești,1
Staer 7,plevnei,sector 6,sector 6,bucurești,2
Staer 7,plivitului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,plopului,bragadiru,—,ilfov,1
Staer 7,plt maj marin pazon,sector 3,sector 3,bucurești,2
Staer 7,plt marin pazon,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,plt marin pazon,sector 3,sector 3,bucurești,1
Staer 7,plt petre ionescu,sector 3,sector 3,bucurești,5
Staer 7,plugarilor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,plugusor,sector 2,sector 2,bucurești,13
Staer 7,plumbuita,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,plumbuita,sector 2,sector 2,bucurești,2
Staer 7,plut ion nedelcu,sector 3,sector 3,bucurești,1
Staer 7,plut. petre ionescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,plutonier pazon marin,sector 3,sector 3,bucurești,1
Staer 7,plutonier petre ionescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,plutonier radu gheorghe,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,poapa spaca,voluntari–pipera,—,ilfov,1
Staer 7,podisor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,podul corbului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,podul neagului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,podul vadului,sector 2,sector 2,bucurești,1
Staer 7,podului,sector 1,sector 1,bucurești,2
Staer 7,poenaru bordea,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,poet andrei-muresan,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,poet andrei-muresan,voluntari–pipera,—,ilfov,1
Staer 7,poet buzdugan,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,poet grigore alexandrescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,poet panait cerna,sector 3,sector 3,bucurești,3
Staer 7,poiana cu aluni,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,poiana cu aluni,sector 2,sector 2,bucurești,4
Staer 7,poiana cu aluni,sector 3,sector 3,bucurești,1
Staer 7,poiana cu aluni,sector 6,sector 6,bucurești,1
Staer 7,poiana narciselor,bucurești neatribuit,bucurești neatribuit,bucurești,4
Staer 7,polixenia radulescu,sector 2,sector 2,bucurești,2
Staer 7,polona,otopeni,—,ilfov,1
Staer 7,polona,periș,—,ilfov,1
Staer 7,polona,sector 1,sector 1,bucurești,2
Staer 7,polovraci,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pomaria,sector 4,sector 4,bucurești,1
Staer 7,pomirla,sector 4,sector 4,bucurești,2
Staer 7,pompiliu stefu,voluntari–pipera,—,ilfov,1
Staer 7,popa iancu,sector 2,sector 2,bucurești,1
Staer 7,popa ion bucur,dacalu,—,ilfov,1
Staer 7,popa lazar,sector 2,sector 2,bucurești,1
Staer 7,popa nan,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,popa nan,sector 2,sector 2,bucurești,1
Staer 7,popa nicolae,sector 2,sector 2,bucurești,12
Staer 7,popa petre,sector 2,sector 2,bucurești,1
Staer 7,popa rusu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,popa sapca,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,popa sapca,voluntari–pipera,—,ilfov,5
Staer 7,popa savu,sector 1,sector 1,bucurești,1
Staer 7,popa soare,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,popa tatu,sector 1,sector 1,bucurești,1
Staer 7,popasului,voluntari–pipera,—,ilfov,7
Staer 7,popesti leordeni-splaiul unirii,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,popesti vest,popești-leordeni,—,ilfov,4
Staer 7,popiliu stefu,voluntari–pipera,—,ilfov,1
Staer 7,popovici,sector 3,sector 3,bucurești,1
Staer 7,portile de fier,sector 2,sector 2,bucurești,3
Staer 7,porumbacului,popești-leordeni,—,ilfov,1
Staer 7,postalionului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,postalionului,sector 4,sector 4,bucurești,1
Staer 7,postasului,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 7,postasului,sector 3,sector 3,bucurești,1
Staer 7,postovarului,sector 3,sector 3,bucurești,1
Staer 7,povernei,sector 1,sector 1,bucurești,1
Staer 7,prahova,bucurești neatribuit,bucurești neatribuit,bucurești,3
Staer 7,prahova,sector 1,sector 1,bucurești,4
Staer 7,pravat,sector 6,sector 6,bucurești,4
Staer 7,preciziei,sector 6,sector 6,bucurești,5
Staer 7,precupetii vechi,sector 2,sector 2,bucurești,2
Staer 7,predeal,voluntari–pipera,—,ilfov,1
Staer 7,predescu vasile,bucurești neatribuit,bucurești neatribuit,bucurești,6
Staer 7,prelungirea garii,vidra,—,ilfov,1
Staer 7,prelungirea garii catelu,sector 3,sector 3,bucurești,1
Staer 7,prelungirea ghencea 133,bragadiru,—,ilfov,2
Staer 7,prelungirea ungirea ghence,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,prelungirea ungirea ghencea,bragadiru,—,ilfov,4
Staer 7,prelungirea ungirea ghencea,sector 6,sector 6,bucurești,32
Staer 7,prelungirea ungirea ghencea-cartierul latin,sector 6,sector 6,bucurești,1
Staer 7,prevedeii,sector 3,sector 3,bucurești,1
Staer 7,prevederii.salajan,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,pricopan,sector 5,sector 5,bucurești,1
Staer 7,prigoriilor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 7,primariei,buftea,—,ilfov,1
